	logFC	logCPM	PValue	FDR
Noc3l	-0.057233925	5.087607095	0.648550489	0.894631916
Camk2b	-0.084477233	4.85935503	0.648641287	0.894631916
Padi2	0.079442251	4.324401779	0.648791633	0.894631916
Lmnb2	-0.056962063	4.932486613	0.648857123	0.894631916
Gripap1	-0.051732146	6.343196401	0.648918599	0.894631916
Stxbp5	-0.049415156	5.836849476	0.648956461	0.894631916
Taf12	-0.052332767	5.888154294	0.649016399	0.894631916
Zc3h6	-0.073015979	2.9405424	0.649162297	0.894631916
Zfp706	0.044698617	6.842152789	0.649166345	0.894631916
Hnrnpr	-0.061267279	7.611849258	0.649305279	0.894631916
Cd151	0.065129185	3.594115826	0.649325371	0.894631916
Gm6548	-0.048652205	6.194702726	0.649511918	0.89476804
Lyrm2	-0.053670887	4.958727794	0.649753829	0.894927698
Brix1	-0.051366091	5.428210803	0.649803342	0.894927698
Ciao1	0.048610867	5.624569586	0.650118732	0.895063769
Zcchc12	0.161468418	0.718871808	0.650181978	0.895063769
Tspyl3	0.049537146	5.598126082	0.65020876	0.895063769
Bcor	0.045726647	6.512729844	0.650310034	0.895063769
Ube2q1	0.045885147	7.606102211	0.650341028	0.895063769
Tpm1	-0.0511195	5.193454467	0.650728595	0.895377939
P4htm	0.130570458	1.21030288	0.650815673	0.895377939
Dsp	0.14664922	0.95565798	0.650881177	0.895377939
Pot1a	-0.05815263	5.164925096	0.650948765	0.895377939
Phf11b	-0.054369064	7.792796048	0.65100834	0.895377939
Etfa	-0.054238313	6.293525929	0.651105503	0.895390804
Lrig2	-0.06119612	4.602343814	0.651332935	0.895582785
Arfrp1	0.048959432	6.11741206	0.651432856	0.895599412
Btbd2	0.069213083	5.253232316	0.651812705	0.89590089
Nkap	-0.065927282	5.147524298	0.651827861	0.89590089
Zfp846	0.077682847	2.773527866	0.6519907	0.895986301
Ccng1	-0.055003447	7.002191158	0.652065739	0.895986301
Acly	0.046054152	8.457429605	0.652368181	0.896081392
Ncor1	-0.045368924	8.904267006	0.652380966	0.896081392
Wasf2	0.045036259	7.859845781	0.652398573	0.896081392
Ccr6	0.163730966	0.147843953	0.652674571	0.896339745
Twsg1	-0.049901687	7.372719379	0.652824558	0.896352084
Ube2z	-0.045356748	6.886306923	0.652886893	0.896352084
Endod1	-0.046843651	6.811392257	0.652947267	0.896352084
Klf7	0.066278917	3.372763149	0.653074556	0.896372823
Chfr	0.04542885	7.436775064	0.653218089	0.896372823
Ube2e1	-0.055638182	6.135561918	0.653226091	0.896372823
Snip1	0.050389512	5.292191702	0.65334269	0.896412192
Pik3r4	0.051401664	5.628351925	0.653556651	0.896512121
Isoc1	-0.051063957	5.970682071	0.653591361	0.896512121
Aimp1	0.049366815	6.086537279	0.653969969	0.896910796
Ppm1a	-0.051270336	6.037380323	0.654260043	0.897187959
Naa20	0.045792196	6.794686462	0.654831871	0.897634036
Ptpn2	-0.050749879	6.170386532	0.655179714	0.897634036
Maged2	-0.075380703	2.720289379	0.655194719	0.897634036
Prkaca	0.047718042	6.082801396	0.655233834	0.897634036
Psmd13	0.04557763	7.223450671	0.655355168	0.897634036
Fam107b	-0.050142365	9.002961114	0.655483237	0.897634036
Scrib	0.047852716	6.618108509	0.655603625	0.897634036
Ikbkg	-0.048873151	6.286078617	0.655622642	0.897634036
Rcn3	0.114714888	1.058577106	0.655647706	0.897634036
Osbpl11	-0.05077971	5.160230378	0.655748649	0.897634036
Ncoa3	0.045064618	7.917987922	0.656103442	0.897634036
Degs1	0.051063152	5.541513218	0.656106779	0.897634036
Safb2	0.048320911	7.387546725	0.65621555	0.897634036
Pex19	-0.048760909	5.377049119	0.656244859	0.897634036
Hist3h2a	0.081804272	1.761345666	0.656261655	0.897634036
Pts	-0.051093077	5.207734153	0.656308694	0.897634036
Kansl2	0.046829207	6.247227654	0.656366483	0.897634036
Prkrip1	-0.059403949	4.161476289	0.656411862	0.897634036
Dnajc24	0.063908975	3.574983689	0.656423729	0.897634036
Pigo	0.056055694	5.429249242	0.65645914	0.897634036
Zcchc3	0.130320804	0.969712047	0.656542043	0.897634036
Rhoc	0.09280449	2.294454331	0.65661853	0.897634036
Gnrh1	-0.121817222	0.150258747	0.656671455	0.897634036
Ddx31	-0.057162988	4.067738082	0.656850744	0.897634036
Ubfd1	-0.04704042	6.082113359	0.656876092	0.897634036
Vps37b	0.049770387	5.510703957	0.656984719	0.897634036
Nxn	0.065173817	3.514909277	0.657094294	0.897634036
Foxred1	-0.052056039	5.075961138	0.657148148	0.897634036
Anapc2	0.046626865	6.578162267	0.657207684	0.897634036
Rexo4	-0.04606441	6.085684477	0.657307877	0.897634036
Rnf34	0.049838902	5.401548833	0.657442395	0.897634036
Elp5	0.051209304	5.019651419	0.6574817	0.897634036
Mrpl44	0.052444055	5.250538706	0.657576305	0.897634036
Map4	-0.044885076	7.880162219	0.657640151	0.897634036
Dera	0.044804746	6.527436434	0.657666361	0.897634036
Ppfia1	-0.045258868	6.37042012	0.657889528	0.897818458
A430078G23Rik	0.052395197	6.129709054	0.658118798	0.897965738
Ralbp1	0.04381523	6.964356149	0.658332864	0.897965738
Ezh1	0.04700816	6.266756964	0.658581958	0.897965738
Rnf8	-0.053969071	4.770629871	0.658682253	0.897965738
Dstyk	0.131142211	0.895536099	0.658690324	0.897965738
Ubn1	-0.044937564	7.925220928	0.658797215	0.897965738
Toe1	0.054876227	5.090222512	0.658907294	0.897965738
Smim7	0.046392072	6.111200657	0.658910022	0.897965738
Ctdspl	-0.094509327	1.259782092	0.658928761	0.897965738
Map3k7	-0.045443902	6.497543579	0.6589313	0.897965738
1700021F05Rik	0.07164093	3.263142727	0.659224895	0.897965738
Slc7a14	-0.128147381	1.144393958	0.659320062	0.897965738
Gtpbp4	-0.05113557	6.372744979	0.659366288	0.897965738
Clpx	-0.057310181	5.188705344	0.659444982	0.897965738
Commd3	0.049036586	5.6270059	0.65944941	0.897965738
2610507I01Rik	0.070449027	3.249724321	0.659477956	0.897965738
Sptan1	-0.048240775	9.192495936	0.6594945	0.897965738
Sumo2	0.046751921	8.240959884	0.659704265	0.898131427
Rab5b	0.049448143	6.375407967	0.660016386	0.898337779
Tfcp2	0.07353801	3.006206679	0.660113982	0.898337779
Slc38a6	0.070430707	2.808645034	0.660120131	0.898337779
Rngtt	-0.059590015	5.322737119	0.660413797	0.898496256
Mtif2	-0.051536154	5.659958527	0.660423155	0.898496256
Ppp1r11	0.052994366	5.944489907	0.660500925	0.898496256
Tbc1d22b	0.049142603	6.399557686	0.661110771	0.899205886
Ociad1	0.043951356	7.664147013	0.661406222	0.899243945
Gbf1	-0.044869386	6.716392346	0.661516579	0.899243945
Ifitm3	0.079706751	4.639309752	0.661616093	0.899243945
Copg1	0.045440122	7.25724624	0.661633976	0.899243945
Asap2	0.080399282	2.686085433	0.661814226	0.899243945
Ppp1r3b	-0.094774705	1.693378672	0.661936097	0.899243945
Tmem214	0.054887982	5.755274138	0.662001934	0.899243945
Egln1	0.044322992	6.203364506	0.662009121	0.899243945
Rnaset2b	0.055400951	5.502643439	0.662037494	0.899243945
Urm1	0.049714878	5.312768045	0.662060668	0.899243945
Cetn2	0.048374899	6.004011805	0.66210881	0.899243945
Cd52	0.055253675	8.926161432	0.662246215	0.899310781
Pmf1	0.059780319	4.991301676	0.662726225	0.899684295
Ubash3b	-0.072016084	5.781664123	0.662759099	0.899684295
Smtn	0.108829754	1.970013645	0.662791374	0.899684295
Zfp563	-0.07967853	3.000887971	0.662948706	0.899684295
Psmc1	-0.049085569	7.57668184	0.663076805	0.899684295
Cops7b	0.050797696	4.860559896	0.663160439	0.899684295
Nphp4	0.092709978	1.734609808	0.663217784	0.899684295
Ppil1	0.045574164	6.356181006	0.663227111	0.899684295
Med17	0.047435139	5.772965469	0.66372553	0.900069994
Tfip11	0.04857753	6.018856252	0.663941422	0.900069994
Ints1	0.053642229	6.915161092	0.663969212	0.900069994
Fkbp1a	0.045899222	7.896714424	0.663971579	0.900069994
Polr2g	0.046046428	6.072709858	0.663989716	0.900069994
Zbtb39	0.084479049	2.892932283	0.664173029	0.900069994
Mapk8ip3	0.050957408	6.817247735	0.664262166	0.900069994
Tbcd	-0.046058676	5.910237317	0.66427003	0.900069994
Ankrd46	-0.046406672	6.281737057	0.664305852	0.900069994
Tmem177	0.076843327	2.722225401	0.664559027	0.900293397
Mrpl13	0.049739848	5.242970296	0.664714411	0.900384278
Gm10509	0.074004736	3.12931365	0.664845651	0.900405499
Zfat	-0.064113159	3.145308365	0.664906679	0.900405499
AW112010	-0.046147071	8.008826007	0.665185233	0.900563273
Pcca	-0.058332114	3.913981657	0.665216589	0.900563273
Epc2	-0.049762306	5.961498761	0.665496871	0.900563273
Atp5sl	0.051921968	5.029514466	0.665644765	0.900563273
Rnf130	-0.121854694	1.719028901	0.665717578	0.900563273
Rap2b	-0.042819823	6.629425767	0.665809398	0.900563273
Rexo2	0.04466795	6.171814287	0.665859352	0.900563273
Stx5a	0.045447575	6.291153465	0.666196612	0.900563273
Bcl2a1b	0.052665011	5.78883151	0.666258682	0.900563273
Zfp420	-0.079512949	2.787183821	0.666310409	0.900563273
Gss	-0.063419811	3.635170345	0.66631087	0.900563273
Prcp	0.069012	3.106027441	0.666324814	0.900563273
Trub1	-0.069956203	2.955994989	0.666384206	0.900563273
Tmem176a	0.130086273	0.2495025	0.666496916	0.900563273
Trim24	-0.048328093	5.489477712	0.666561031	0.900563273
Pla2g12a	-0.06812388	3.059672415	0.666639879	0.900563273
Fam206a	-0.050872265	5.123660874	0.666686324	0.900563273
Fam175b	-0.054175333	4.871205773	0.666708949	0.900563273
Adam12	0.174352468	0.280896167	0.667012225	0.900563273
Stat2	-0.052406293	8.054559452	0.667065188	0.900563273
Rap2a	-0.078189881	4.151271564	0.667171098	0.900563273
Spsb2	0.0859075	1.661243058	0.667354714	0.900563273
Aldoa	0.045205326	9.097366613	0.667450395	0.900563273
Mrpl9	0.042704804	7.147751168	0.667461754	0.900563273
Ly9	0.042563737	8.120000951	0.667468417	0.900563273
Arhgap30	-0.050070955	9.293523121	0.667480032	0.900563273
C430002N11Rik	-0.13588385	0.050382973	0.667518361	0.900563273
Tbca	0.045826945	6.014017547	0.667615478	0.900563273
Dip2c	-0.142634321	0.663146607	0.667725541	0.900563273
Slc10a7	-0.048869762	5.124681351	0.667803537	0.900563273
Socs7	-0.049000307	5.861894009	0.667867591	0.900563273
Mtch2	0.044435408	6.10117719	0.667954882	0.900563273
Qsox2	0.080879659	2.287319789	0.667962525	0.900563273
Mylpf	0.071484059	2.456131058	0.668025948	0.900563273
Slc25a33	0.069829022	2.824551368	0.668382123	0.900924323
Them6	0.081440913	3.7087334	0.668629003	0.901025192
Rbm17	0.043922663	6.77882052	0.668674619	0.901025192
Slc30a6	0.058114152	3.830724008	0.668722041	0.901025192
Pigv	-0.059812392	4.005952557	0.668980017	0.901253696
Fastkd1	-0.072614597	3.294545207	0.66944963	0.901523511
Tdrp	0.088515525	1.856234178	0.669469395	0.901523511
Coq4	-0.097121238	1.256062398	0.669521513	0.901523511
Ddx27	0.043803524	6.591149299	0.66979554	0.901523511
Kri1	0.047085906	6.794283437	0.669872027	0.901523511
Sec23b	-0.043031011	6.506023193	0.669946836	0.901523511
Gimap4	-0.050190087	10.64803678	0.669970028	0.901523511
Pop1	-0.05320205	4.518033187	0.669971219	0.901523511
Fam132a	0.106606584	0.815903265	0.66997599	0.901523511
Rabepk	0.050638568	4.966944845	0.670093363	0.901562479
Ccnd2	0.044949498	8.782693781	0.670257675	0.90166458
Hmgxb3	0.046521321	5.625865324	0.670413508	0.901739528
Tbc1d20	0.046867332	5.988221737	0.670656787	0.901739528
Traf3ip3	0.045751213	8.060036763	0.67075693	0.901739528
Pmm2	0.044403629	6.506211042	0.670786761	0.901739528
Cdk13	0.043400591	7.236151953	0.670901025	0.901739528
Nup50	-0.043424079	7.307014276	0.671081496	0.901739528
Ube2n	-0.046282812	7.366641747	0.671092162	0.901739528
Mical1	0.044444583	7.847500534	0.671159981	0.901739528
Zfp825	-0.065194046	4.235437441	0.67116527	0.901739528
Urgcp	0.050156863	5.001753952	0.671197707	0.901739528
Asb7	-0.05780704	3.928270426	0.671433229	0.901905936
Eno1	0.054214649	6.499949731	0.671561947	0.901905936
Cdk5rap1	-0.11406487	4.648804056	0.671586915	0.901905936
Ric8b	-0.058623512	4.056258466	0.671788261	0.902057532
Bcl2l12	-0.057905499	4.021598262	0.671878648	0.902060115
Tiprl	-0.05671084	5.740487414	0.672060834	0.902150245
Akap8	-0.046281049	7.597842566	0.672170184	0.902150245
Rnf185	0.053114473	4.241974515	0.672211196	0.902150245
Brf2	0.061092564	3.279696168	0.67268589	0.902577373
Plxna3	-0.067103029	3.841045352	0.672706485	0.902577373
Cox10	0.053542258	4.497036258	0.6732218	0.903021005
Plekhm3	0.065769392	3.273332008	0.67337103	0.903021005
Sik1	0.085615321	2.170971712	0.673379948	0.903021005
Simc1	-0.070527611	2.373672722	0.673391362	0.903021005
Timm23	0.042843551	6.588698558	0.673489738	0.90303417
Mrpl51	0.047938111	5.422396622	0.673824086	0.903363687
Map4k3	-0.07177067	2.738122917	0.67398454	0.903428771
Fam134c	0.041995004	7.510049079	0.674080217	0.903428771
Cpsf6	-0.051753909	7.099166708	0.674138425	0.903428771
Cks1b	0.054194884	5.182275128	0.674357378	0.903444066
Nr1h3	-0.12840866	0.144859559	0.674415546	0.903444066
Bud31	0.041930539	6.702232361	0.67444552	0.903444066
Commd7	-0.043762908	6.226791545	0.674570812	0.903444066
Tnfrsf12a	0.13454274	0.065785382	0.674741139	0.903444066
Nckap1l	-0.042106876	8.798444846	0.674819366	0.903444066
Cacna1s	0.080241959	1.846163513	0.674878151	0.903444066
Tpmt	-0.105328981	1.088019815	0.675018967	0.903444066
Eef1d	0.042458028	7.244792847	0.675031814	0.903444066
Zfp874a	-0.077433868	3.852481007	0.675035828	0.903444066
Cnih4	0.05422874	4.282192439	0.675413723	0.90380399
Dus1l	0.04901767	5.460511469	0.675482025	0.90380399
Vars2	0.052816889	5.181714994	0.675596117	0.903838048
Zfp560	0.085010202	2.650081559	0.675840992	0.904044929
Fkbp3	-0.051694718	6.105432588	0.675928071	0.904044929
Eif5b	-0.051773471	7.968240882	0.676028106	0.904060144
Fam50a	0.044409492	5.771431465	0.676213927	0.904190062
Gramd3	0.042715397	6.962596365	0.67655051	0.90452151
Zfp619	-0.082694545	1.648465583	0.67687797	0.904751048
Mcts1	-0.048625648	5.534300593	0.67693355	0.904751048
Gcsh	-0.068347243	3.322719988	0.676988379	0.904751048
Xrcc4	0.059327195	3.983685794	0.677497761	0.905240659
Lamtor2	0.050856015	5.745692495	0.677532285	0.905240659
Wars	0.048141394	6.497153315	0.677878353	0.905483814
Txnl4a	0.04248464	7.002043491	0.677891874	0.905483814
Pkn1	0.042967385	8.140420109	0.678039941	0.90556297
Kif3c	0.06206657	3.842913442	0.678294442	0.905784235
Fam174b	-0.109366029	1.312108658	0.678453679	0.905878246
Slu7	-0.044579481	6.837503274	0.67861863	0.905979861
Atpif1	0.054901106	4.764227776	0.678742563	0.906026693
Scyl3	0.045801451	6.109219101	0.678928866	0.906057531
Champ1	-0.048952497	5.04234423	0.678943375	0.906057531
Pip4k2b	-0.042956807	6.98503272	0.679232232	0.906147818
Nrm	-0.060854811	4.272023778	0.679326355	0.906147818
Ncoa4	-0.045488059	7.093136144	0.67951244	0.906147818
Odf2	-0.047342557	6.707478137	0.679519226	0.906147818
Cinp	-0.054326352	4.244167688	0.679774868	0.906147818
Micall1	0.048661615	5.850744657	0.679786179	0.906147818
Usp12	-0.049235858	6.382929331	0.679807606	0.906147818
Cmss1	-0.074468909	2.804248216	0.679885104	0.906147818
4933407K13Rik	-0.069039067	2.495207933	0.679903505	0.906147818
Gba2	0.048556475	5.718795804	0.679985177	0.906147818
Cpsf1	0.043258436	6.794003249	0.679991855	0.906147818
Tgfbrap1	-0.047759948	5.671103426	0.680147595	0.906147818
Yeats4	0.044210323	6.369505184	0.680243338	0.906147818
Pkp4	0.050456981	5.873733351	0.680255128	0.906147818
Hars	-0.0418232	6.912646683	0.680457682	0.906227229
Dtnb	0.056588074	4.119476476	0.680597972	0.906227229
Kif21b	-0.046620828	9.345143108	0.680693066	0.906227229
Neil2	0.081447625	1.742744205	0.680720653	0.906227229
2310022B05Rik	0.064417366	3.040710468	0.680835991	0.906227229
Tor1aip2	-0.041802233	7.468870719	0.680957269	0.906227229
Tsr1	-0.043096442	6.516516814	0.681004733	0.906227229
Rnf44	0.046941048	7.338601242	0.681109	0.906227229
Unkl	-0.04361702	6.011185294	0.681114591	0.906227229
Apobec3	-0.041749002	8.142280547	0.681244178	0.906273462
Nars2	-0.065926525	2.925478656	0.681327092	0.906273462
Srp72	-0.042714277	7.780420296	0.681513683	0.906307389
Emc8	0.050269455	4.854942047	0.681584811	0.906307389
Hlx	0.127482193	1.302953757	0.681619238	0.906307389
Tatdn1	0.055366859	3.686600683	0.68175608	0.906371153
Lacc1	-0.093227207	1.516601885	0.681988982	0.906395876
Casc3	0.040945693	6.711924169	0.682075775	0.906395876
Lrrfip2	-0.052200381	4.388174351	0.682090896	0.906395876
2010111I01Rik	-0.04566613	5.903223153	0.682130229	0.906395876
Vps29	0.042007321	6.222234142	0.682340765	0.906464021
Emc4	0.04913886	5.101140559	0.682418634	0.906464021
Fam219b	-0.049830509	4.618949694	0.682448199	0.906464021
Ube2d2a	-0.047309058	7.82078952	0.682735801	0.906649441
Tulp3	-0.073416256	2.549455821	0.682765623	0.906649441
Cops4	-0.041902372	6.142389564	0.682916822	0.906732139
Npepps	-0.049965222	6.583674739	0.683118416	0.906734306
Ppp1r10	0.043592241	6.328320232	0.68313626	0.906734306
Lgalsl	0.083867948	2.846662294	0.683185219	0.906734306
Taf1d	-0.055342002	6.106444248	0.683304387	0.906774445
Paf1	0.041410592	6.221527447	0.68346319	0.906796441
Brd2	0.040521142	8.718646567	0.683498818	0.906796441
1600014C10Rik	-0.042216903	6.463282243	0.683740775	0.906999438
Hmg20a	-0.042705495	6.357450614	0.68423793	0.90745933
Gpatch8	-0.044233953	6.360462787	0.68426545	0.90745933
Rab5a	-0.049249316	6.07177615	0.684579235	0.907663757
Tusc3	0.048134024	5.181435881	0.684670811	0.907663757
Ctps2	-0.049591467	6.166348588	0.68476387	0.907663757
Nipsnap3b	0.048180628	4.74272315	0.684886009	0.907663757
Dhrs11	0.079060748	3.227758465	0.684940017	0.907663757
Asb2	-0.072319962	3.655422505	0.684953674	0.907663757
Zfp119b	0.073035629	2.290077247	0.685167113	0.907828619
Hsd17b4	0.042472468	5.877229972	0.685285696	0.907830755
Capza1	-0.044972533	9.471053442	0.685505481	0.907830755
Znrd1	0.047070967	4.956557034	0.685547023	0.907830755
Zfp426	-0.05321364	5.631937437	0.685653059	0.907830755
Itpripl1	-0.046572884	5.396080478	0.685679163	0.907830755
Wdr78	-0.086120797	1.574723334	0.685738016	0.907830755
Socs5	0.052788479	4.284154686	0.685807839	0.907830755
Enkd1	-0.074125511	2.710860881	0.685880959	0.907830755
Ceacam16	-0.122892939	0.829629463	0.686149539	0.908068377
Atg16l2	0.048351256	5.62928251	0.686308762	0.90816123
Ppp1r13b	0.047137212	5.229674994	0.686577537	0.908229936
Kif3b	-0.044123831	6.418307292	0.686591419	0.908229936
Uqcr11	0.050537794	5.195828644	0.686724459	0.908229936
Hip1	-0.059800179	5.187648139	0.686820917	0.908229936
Irf1	0.044147684	7.521376455	0.686888225	0.908229936
Anxa7	-0.040202233	7.081310222	0.686895093	0.908229936
Qrsl1	-0.050290815	4.37036799	0.687157115	0.908238245
Tmem127	0.040498743	7.527739455	0.687191848	0.908238245
Wdr26	-0.046768795	9.793860103	0.687261516	0.908238245
Trap1	-0.041083606	6.512333194	0.687286233	0.908238245
Gm12338	0.110735871	3.008858798	0.687371026	0.908238245
Zfp512	-0.047340709	4.816332162	0.687451825	0.908238245
Med8	0.040355238	6.326362431	0.687655517	0.908238245
Neurl4	0.045823859	5.895640976	0.687710305	0.908238245
Zfp870	-0.078586444	2.087251863	0.687812941	0.908238245
Clcf1	0.062782412	3.133825357	0.687875702	0.908238245
Snx30	0.051885793	4.206565084	0.687896451	0.908238245
Flii	0.044434436	8.011486008	0.687997931	0.908238245
Nup62	0.04233538	6.476524992	0.688094484	0.908238245
Ptger4	-0.047292112	5.478735891	0.688148346	0.908238245
Snrk	0.040795758	7.136834257	0.68829144	0.90830954
Mrpl39	0.046226398	5.255687703	0.688472432	0.908430822
D930016D06Rik	-0.070386791	2.973233029	0.688616439	0.908503277
Nek8	-0.056045807	3.868558406	0.689103571	0.909028346
Rhbdf2	0.054062686	4.120961891	0.68929178	0.909159006
Scyl2	-0.042508509	6.045435901	0.689590322	0.909320474
Zfp74	-0.062989684	3.313832235	0.689666138	0.909320474
Rab43	0.040338592	6.836209328	0.68974649	0.909320474
Rrp1b	-0.045521926	5.705519888	0.6897709	0.909320474
Flywch1	0.057662448	4.64686617	0.690078139	0.909607909
Slc1a4	0.099856118	1.261863537	0.690336442	0.909720635
Spcs1	0.043665772	6.480118808	0.690497267	0.909720635
Lrrc41	0.047235529	5.127546981	0.69053907	0.909720635
Ywhae	-0.041985016	8.559935078	0.690603247	0.909720635
E130317F20Rik	-0.115358031	0.292196253	0.690609732	0.909720635
Mark2	0.042847579	7.955557492	0.690812292	0.909869922
Kansl1	-0.03959631	7.129381057	0.690922378	0.90989739
Gm14325	-0.082437575	4.403891766	0.691211262	0.909954637
Snf8	-0.042412554	6.005630601	0.691353604	0.909954637
Tbc1d2b	-0.039756616	7.272863996	0.691512211	0.909954637
Srsf11	0.041009757	7.748239227	0.691615363	0.909954637
Dvl3	-0.057613176	4.97492651	0.691641132	0.909954637
Rapsn	-0.127878032	0.481804163	0.69172121	0.909954637
Whamm	0.04835774	4.923509593	0.691722007	0.909954637
Mthfsd	0.065888909	4.107142366	0.691753839	0.909954637
Tmem55b	-0.047633087	4.685024779	0.691832016	0.909954637
Vat1	0.071395654	2.511910947	0.691918313	0.909954637
Net1	-0.045818983	5.467745031	0.69194746	0.909954637
Rab11a	0.042174675	6.066310216	0.692121168	0.910065706
Zbtb5	-0.054101573	4.005616271	0.692363227	0.910266609
Uvssa	-0.052752805	4.392374766	0.692610549	0.910436253
Zfp566	-0.075757756	2.320518027	0.692954947	0.910436253
Edc4	0.043609045	6.561836059	0.69301277	0.910436253
Ccsap	-0.058232792	3.797314822	0.693074256	0.910436253
Zfp36l2	0.055664011	8.637811416	0.693197565	0.910436253
Elf2	-0.03982532	6.516958678	0.69327121	0.910436253
Ankrd11	0.04122609	8.603484122	0.693277893	0.910436253
Gimap1	0.040138372	8.096588719	0.693287496	0.910436253
Gtf3c6	-0.061165533	5.207646581	0.693372978	0.910436253
Arv1	-0.069939633	2.625603193	0.693401301	0.910436253
Pip5k1a	0.043368502	5.451756522	0.693474392	0.910436253
Bms1	-0.041749808	7.016787727	0.693632769	0.91052695
Ada	-0.078401144	1.789217888	0.693988009	0.910558921
Ss18	-0.038779917	6.724008427	0.694182188	0.910558921
Grk5	-0.082316821	2.01565331	0.694227794	0.910558921
Slc7a6os	0.044316534	5.330494931	0.694252578	0.910558921
Tmem18	0.060129	4.690183201	0.694364513	0.910558921
Thyn1	0.048976198	4.407976911	0.694453192	0.910558921
Sh3bp2	0.046201025	5.267413846	0.69446534	0.910558921
Atp6v1d	-0.039299701	6.927650895	0.694499876	0.910558921
Qprt	0.064329371	3.200362936	0.694509689	0.910558921
Fbxo32	0.050812301	4.397744566	0.694550092	0.910558921
Tmed9	-0.041554319	7.860762579	0.694661296	0.910587638
Myl4	-0.07442193	2.218588918	0.69490088	0.910679141
Txk	0.040124043	6.404692849	0.694909718	0.910679141
Usp39	0.041058463	5.968586608	0.69560084	0.911467716
Calcoco1	0.047307654	5.055060471	0.695701292	0.911482215
Atp6v0a2	-0.039705936	7.651931696	0.695917489	0.911511377
Tmem109	-0.05354162	4.491199366	0.695946082	0.911511377
Zfyve26	-0.045477848	5.937226607	0.695991721	0.911511377
Tacc2	0.055682901	3.917338814	0.696437175	0.911735611
Dpysl2	0.040488447	6.675241491	0.696466969	0.911735611
Icam5	-0.090834098	1.910618599	0.696505842	0.911735611
Ogfod3	-0.105536173	0.624027034	0.696574483	0.911735611
Sbds	-0.041822397	5.615697293	0.696609997	0.911735611
Lias	-0.045807436	5.107603156	0.696911013	0.911741318
Krcc1	-0.060461687	6.055516325	0.696953285	0.911741318
Mul1	-0.048924117	4.459285139	0.696967604	0.911741318
Tstd2	-0.042098494	5.662021614	0.696972008	0.911741318
Dcun1d2	0.047709968	4.808300054	0.697178666	0.911841879
1600012H06Rik	0.046654751	5.073862754	0.697227727	0.911841879
Aasdhppt	-0.062493073	4.186234796	0.6974347	0.911965142
Runx1	0.039747233	6.342942143	0.697520859	0.911965142
Trit1	-0.049281624	4.102958014	0.697590282	0.911965142
Rbm39	-0.049021571	8.778708332	0.69768823	0.91197627
Troap	-0.065472045	3.622178334	0.698179704	0.912092124
Decr2	-0.049718482	4.635556602	0.698207422	0.912092124
Rassf2	0.043227383	7.998090969	0.698214788	0.912092124
AI854703	-0.107594895	0.751116741	0.698249694	0.912092124
Snx22	-0.124478279	-0.016969111	0.698266562	0.912092124
Tmco1	0.04196631	5.937158199	0.698313545	0.912092124
Gm15133	0.084374158	1.45822336	0.699015516	0.912781862
Arfgap3	0.055306417	3.398290138	0.699020649	0.912781862
Ppp2r2a	-0.044328577	6.437748319	0.699199343	0.912898297
Tmem70	0.046568601	4.879677123	0.699618081	0.913260342
St7l	0.047611542	4.417587972	0.699655761	0.913260342
6430562O15Rik	0.10408578	1.431231864	0.699801127	0.913333174
Eif3e	0.044589574	8.451497899	0.700049933	0.913540974
Eif2ak4	-0.052247665	3.83157523	0.700196072	0.913548825
BC147527	0.039100286	6.874645581	0.700235129	0.913548825
Bcl2a1d	0.0534506	5.452892705	0.700467941	0.913716938
Ago1	-0.039376548	6.842942348	0.700592691	0.913716938
Ivd	0.05065078	4.443633535	0.70067333	0.913716938
Tpcn1	0.044211276	5.981266555	0.700722414	0.913716938
Pdrg1	0.038810773	6.311150121	0.701001857	0.913947435
Haao	-0.107397573	1.110123532	0.701128824	0.913947435
Mrps18a	0.049602487	4.647110358	0.701168067	0.913947435
Cntrob	-0.04742954	4.755625227	0.701448941	0.914196683
Nsmaf	-0.039023584	8.059193444	0.701596752	0.91427247
Ehbp1l1	0.03860104	7.014667799	0.701740335	0.91432468
Snx2	-0.048441538	8.714928808	0.701894751	0.91432468
Eef1e1	0.048349771	4.585680296	0.701905815	0.91432468
Ate1	-0.05119459	5.873173098	0.702192666	0.914501625
Cramp1l	-0.042410876	6.273843059	0.702282801	0.914501625
Klhl9	-0.047625862	6.652928849	0.702310702	0.914501625
Prkag2	-0.046512492	4.981915441	0.702442776	0.914556816
Lrrc47	-0.038677857	7.088230803	0.702897907	0.914832257
Zfp558	-0.097468613	0.914371554	0.702916227	0.914832257
Thy1	0.043496733	9.569274226	0.70292348	0.914832257
Dguok	0.048162069	4.471924409	0.703018804	0.914839554
Crot	-0.04833332	6.32876565	0.703360638	0.914992147
Nrde2	-0.045979742	4.890272824	0.703451907	0.914992147
5430416N02Rik	-0.061508723	2.692178993	0.703475727	0.914992147
Tmem38b	0.077897308	2.919577061	0.703494992	0.914992147
Sez6l2	-0.119938595	0.265693304	0.703675473	0.914999259
Cstf1	0.049164222	5.242993403	0.703679924	0.914999259
Arhgap15	0.047101758	7.23883981	0.703893424	0.915036446
Hectd3	0.038538478	6.671120309	0.704038323	0.915036446
Depdc1b	-0.077965728	3.644380454	0.704052351	0.915036446
Mrps11	0.047963111	4.498992013	0.704086857	0.915036446
